TYPENAME,,0RawMaterial,,RawMaterial,,,,,,,,
,,Definition,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,
PROPERTY,,DisplayText,,Name,,IESProfile.Name,,,,,,
PROPERTY,,PresetID,,,,IESProfile.AssetID,,,,,,
PROPERTY,,AssetPath,,,,IESProfile.AssetPath,,,,,,
PROPERTY,,AssetPath,,,,IESProfile.CraftingIconAssetPath,,,,,,
,,Presets,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,IESProfile.Name,IESProfile.AssetPath,IESProfile.CraftingIconAssetPath,,
PRESET,,9F395CC4-77CE-E141-A801-BC3FD37BCA95,,Property_Performance_Comfort Provision_Illuminance_IESProfile-100% Mid Downlight,,Property_Performance_Comfort Provision_Illuminance_IESProfile,,100% Mid Downlight,/Game/ShoppingData/IESProfiles/IESProfile001,/Game/ShoppingData/CraftingIcons/IESProfiles/IESProfile001,,
PRESET,,0769A4F0-1A23-9A41-9164-256F64BF3669,,"Property_Performance_Comfort Provision_Illuminance_IESProfile-60% Wide Uplight, 40% Mid Downlight",,Property_Performance_Comfort Provision_Illuminance_IESProfile,,"60% Wide Uplight, 40% Mid Downlight",/Game/ShoppingData/IESProfiles/IESProfile002,/Game/ShoppingData/CraftingIcons/IESProfiles/IESProfile002,,
