TYPENAME,,0Color,,Color,,,,,,
,,Definition,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,
PROPERTY,,DisplayText,,Name,,Color.Name,,,,
PROPERTY,,HexValue,,,,Color.HEXValue,,,,
,,Presets,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Color.Name,Color.HEXValue,,DataType=ParentCategoryPath,TG_ParentNode+CategoryPath
PRESET,,0Color_Abstract-FFFFFF-White,,0Color_Abstract,,White,FFFFFF,,,1Material_Abstract
PRESET,,0Color_Abstract-EAEAEA-Gray1,,0Color_Abstract,,Gray 1,EAEAEA,,,1Material_Abstract
PRESET,,0Color_Abstract-D5D5D5-Gray2,,0Color_Abstract,,Gray 2,D5D5D5,,,1Material_Abstract
PRESET,,0Color_Abstract-C0C0C0-Gray3,,0Color_Abstract,,Gray 3,C0C0C0,,,1Material_Abstract
PRESET,,0Color_Abstract-ABABAB-Gray4,,0Color_Abstract,,Gray 4,ABABAB,,,1Material_Abstract
PRESET,,0Color_Abstract-959595-Gray5,,0Color_Abstract,,Gray 5,959595,,,1Material_Abstract
PRESET,,0Color_Abstract-6B6B6B-Gray6,,0Color_Abstract,,Gray 6,6B6B6B,,,1Material_Abstract
PRESET,,0Color_Abstract-555555-Gray7,,0Color_Abstract,,Gray 7,555555,,,1Material_Abstract
PRESET,,0Color_Abstract-404040-Gray8,,0Color_Abstract,,Gray 8,404040,,,1Material_Abstract
PRESET,,0Color_Abstract-2B2B2B-Gray9,,0Color_Abstract,,Gray 9,2B2B2B,,,1Material_Abstract
PRESET,,0Color_Abstract-151515-Gray10,,0Color_Abstract,,Gray 10,151515,,,1Material_Abstract
PRESET,,0Color_Abstract-000000-Black,,0Color_Abstract,,Black,000000,,,1Material_Abstract
PRESET,,0Color_Aggregates_Asphalt-594D41-Barkwood,,0Color_Aggregates_Asphalt,,Barkwood,594D41,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-52595B-PewterGray,,0Color_Aggregates_Asphalt,,Pewter Gray,52595B,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-646963-Gray-GreenSlate,,0Color_Aggregates_Asphalt,,Gray-Green Slate,646963,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-743131-RichRed,,0Color_Aggregates_Asphalt,,Rich Red,743131,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-2F3336-Charcoal,,0Color_Aggregates_Asphalt,,Charcoal,2F3336,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-9A7957-Caramel,,0Color_Aggregates_Asphalt,,Caramel,9A7957,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-6B6758-Olive,,0Color_Aggregates_Asphalt,,Olive,6B6758,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-856B5B-Driftwood,,0Color_Aggregates_Asphalt,,Driftwood,856B5B,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-929796-Silver,,0Color_Aggregates_Asphalt,,Silver,929796,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-2A3A2F-ForestGreen,,0Color_Aggregates_Asphalt,,Forest Green,2A3A2F,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-50392E-Mocha,,0Color_Aggregates_Asphalt,,Mocha,50392E,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-684F3C-AdobeSunset,,0Color_Aggregates_Asphalt,,Adobe Sunset,684F3C,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-413834-BrandywineDusk,,0Color_Aggregates_Asphalt,,Brandywine Dusk,413834,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-786147-Goldenrod,,0Color_Aggregates_Asphalt,,Goldenrod,786147,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-4B4034-DustySaddle,,0Color_Aggregates_Asphalt,,Dusty Saddle,4B4034,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-2F2F2D-DarkSky,,0Color_Aggregates_Asphalt,,Dark Sky,2F2F2D,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-5C523E-CedarFalls,,0Color_Aggregates_Asphalt,,Cedar Falls,5C523E,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-5C5D5A-MistyMorning,,0Color_Aggregates_Asphalt,,Misty Morning,5C5D5A,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-57605F-CobblestoneSlate,,0Color_Aggregates_Asphalt,,Cobblestone Slate,57605F,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Asphalt-969B99-FoxHollowGray,,0Color_Aggregates_Asphalt,,Fox Hollow Gray,969B99,,,1Material_Aggregates_Asphalt
PRESET,,0Color_Aggregates_Cement-FFFFFF-White,,0Color_Aggregates_Cement,,White,FFFFFF,,,1Material_Aggregates_Cement
PRESET,,0Color_Aggregates_Cement-D6D7D8-Natural,,0Color_Aggregates_Cement,,Natural,D6D7D8,,,1Material_Aggregates_Cement
